,0
0,3.9836183
1,3.6777587
2,4.079782
3,3.5188854
4,3.0239758
5,2.944364
6,3.232061
7,3.9164987
8,3.411972
9,3.4385982
10,3.6635225
11,3.089819
12,3.7548668
13,3.5932918
14,3.2421207
15,4.147821
16,2.9059632
17,3.293001
18,2.7825527
19,3.7671723
20,2.7527568
21,2.7475896
22,3.5044055
23,4.135868
24,2.5175216
25,3.1569848
26,3.9863088
27,3.193156
28,3.8239696
29,3.6821795
30,3.23062
31,3.2934666
32,3.2874732
33,3.443084
34,3.1531625
35,3.6956947
36,4.4691253
37,3.125748
38,4.569682
39,3.2522843
40,3.088156
41,3.2706077
42,3.4122367
43,3.5974839
44,4.036178
45,3.6644568
46,3.2931962
47,3.3191159
48,4.2388043
49,3.9093907
50,3.5140395
51,4.187913
52,3.519468
53,3.7035296
54,3.983907
55,3.8181036
56,3.6233702
57,3.5450935
58,4.189761
59,3.5265222
60,3.043125
61,3.3984473
62,4.2277794
63,4.2556734
64,4.2072763
65,3.2967186
66,4.230339
67,3.433179
68,3.2798543
69,4.3887935
70,3.8950362
71,3.1053984
72,3.7046819
73,2.8066611
74,3.2358892
75,3.6603405
76,3.8632028
77,3.2535274
78,3.2927594
79,3.2457113
80,3.9537067
81,3.064391
82,3.286185
83,3.6798048
84,2.789114
85,4.4290447
86,3.3424964
87,4.1896586
88,3.3158574
89,4.2330775
90,2.973295
91,4.0155334
92,3.293018
93,3.2001648
94,3.386367
95,3.2095842
96,3.3387156
97,3.2722857
98,3.4746273
99,4.1731887
100,3.9040713
101,3.1062844
102,3.6015103
103,3.3241003
104,3.2752328
105,3.367036
106,3.4211245
107,3.7093625
108,3.3566165
109,3.6212056
110,2.7108672
111,3.9140449
112,3.0694256
113,3.3247497
114,3.2420204
115,3.5888078
116,2.977055
117,3.4207735
118,3.049087
119,3.8104293
120,3.2009501
121,3.1207385
122,4.0808506
123,3.0809963
124,3.2376504
125,3.1387136
126,4.172267
127,3.9688222
128,2.8557422
129,3.3348992
130,3.4343863
131,3.9137437
132,3.975173
133,2.748979
134,3.4329205
135,3.136053
136,4.2685976
137,3.4776444
138,2.9493735
139,3.7312791
140,3.637896
141,3.7059145
142,3.90777
143,3.3047338
144,3.349616
145,3.2150314
146,3.1466908
147,3.179621
148,3.427158
149,3.895214
150,3.2835677
151,3.6615248
152,3.9966624
153,3.6641107
154,2.8466156
155,3.3683195
156,3.6170666
157,3.1931424
158,3.8652527
159,3.2299876
160,3.0442083
161,3.1726832
162,3.184947
163,3.6845207
164,3.2055557
165,4.0637727
166,3.118779
167,4.230338
168,2.8964396
169,4.503518
170,3.2846775
171,3.5216641
172,3.3921092
173,3.1205
174,3.9737973
175,3.7460768
176,3.0495381
177,4.4599757
178,3.884965
179,3.4247227
180,3.0570161
181,3.7770252
182,4.3065057
183,4.1539335
184,2.9425213
185,3.2975872
186,3.116912
187,3.6745872
188,3.358961
189,3.2367887
190,3.638257
191,2.7794774
192,3.494744
193,4.4897494
194,3.3501618
195,3.6739526
196,3.0798073
197,3.0476089
198,3.0162706
199,4.0870533
200,2.8657334
201,3.3608434
202,3.3374324
203,3.8138318
204,2.7089806
205,2.919136
206,3.0194378
207,4.1776037
208,4.5255413
209,3.4047964
210,3.0581203
211,4.2132998
212,3.5023696
213,3.6193419
214,2.7637684
215,3.3440106
216,4.247745
217,3.5902457
218,4.1094003
219,4.2241616
220,3.5510817
221,4.008019
222,3.4457853
223,3.5818865
224,4.073994
225,3.326722
226,4.214041
227,4.422687
228,3.6871924
229,3.5925589
230,4.251815
231,3.3928382
232,2.7767682
233,3.2773478
234,4.154545
235,2.8961048
236,3.4710917
237,3.2495668
238,4.1899323
239,3.0779877
240,3.2970104
241,4.2790914
242,3.2689693
243,4.077115
244,3.3953497
245,3.435355
246,2.793537
247,3.8869045
248,4.0807633
249,4.1830754
250,4.577962
251,2.928482
252,3.3499188
253,2.7632418
254,2.8858528
255,3.4449286
256,3.6734219
257,3.1575654
258,3.3890152
259,3.4868162
260,2.779516
261,3.1731896
262,3.9711754
263,3.157855
264,3.0657814
265,3.0393703
266,3.8036745
267,3.8658156
268,3.059281
269,3.1999874
270,4.236454
271,3.1677814
272,2.9433327
273,3.379025
274,3.028504
275,3.4183054
276,3.4183655
277,3.9240432
278,3.4011385
279,3.3488212
280,3.4801328
281,4.2107635
282,4.170819
283,3.3078675
284,3.6363888
285,3.2388396
286,3.4355175
287,4.2414865
288,3.9063227
289,4.1117377
290,4.206614
291,2.9471512
292,3.4956326
293,3.312334
294,4.141746
295,3.6322346
296,3.1126666
297,2.7458522
298,4.4343286
299,3.7987533
300,3.7043593
301,3.3304315
302,3.2562044
303,3.4962194
304,3.682714
305,3.290878
306,2.7777257
307,4.165305
308,3.4941843
309,3.3133996
310,3.1515758
311,3.6480083
312,4.4150763
313,3.0402634
314,3.250508
315,3.4378123
316,4.1284065
317,3.2820077
318,3.8982432
319,3.1511624
320,3.187637
321,3.4250388
322,4.1683354
323,3.8900478
324,3.5920079
325,2.889824
326,3.8801763
327,3.4383826
328,4.267324
329,3.9798355
330,3.7708912
331,3.2873154
332,3.6409779
333,3.714493
334,4.011425
335,3.46337
336,3.4735143
337,3.6112459
338,3.8327072
339,2.944693
340,3.9055455
341,3.2999651
342,3.3255439
343,3.7511907
344,3.6415937
345,3.2759702
346,4.428168
347,3.1722414
348,3.2910488
349,4.1306376
350,3.4061422
351,3.2395623
352,3.8512
353,3.3831675
354,3.2434115
355,2.7583694
356,3.386867
357,3.1035087
358,3.1312962
359,3.4071047
360,3.669195
361,2.6645238
362,3.1158473
363,4.0875416
364,3.4382966
365,2.8757467
366,4.2586966
367,3.65483
368,3.0454783
369,3.3655925
370,3.0271585
371,3.0251932
372,3.5371845
373,3.8727853
374,3.2916942
375,3.368329
376,2.954708
377,3.0723636
378,3.31932
379,3.3009348
380,3.1008763
381,3.5945067
382,3.0761583
383,3.0206556
384,3.4667585
385,3.2687845
386,3.2631423
387,2.908092
388,2.9741507
389,3.139413
390,3.235465
391,3.4736733
392,3.271601
393,3.7707193
394,3.5270221
395,3.7693007
396,3.6726265
397,3.931829
398,4.2827377
399,3.0480428
400,3.633049
401,4.235037
402,4.196185
403,2.7549376
404,3.8640409
405,4.217752
406,3.3057606
407,3.6473143
408,3.899589
409,4.164272
410,3.7394552
411,3.1862829
412,3.3682168
413,3.2903898
414,4.267584
415,4.247044
416,3.4230309
417,2.9383845
418,3.3528442
419,3.4787004
420,3.0211334
421,3.2986186
422,2.9888973
423,3.9384947
424,2.8453526
425,3.4054964
426,4.165365
427,3.7515433
428,3.4291952
429,3.2838943
430,3.7168918
431,4.233909
432,3.9128084
433,3.9807422
434,3.0345798
435,4.1980963
436,3.1995063
437,3.8075433
438,3.4093335
439,3.3040066
440,3.2533429
441,3.1516974
442,3.2350705
443,3.8828034
444,2.7438812
445,3.3554275
446,3.4968114
447,3.314292
448,3.5447762
449,3.4554682
450,4.1627693
451,3.0710783
452,3.2063842
453,3.8166482
454,3.2480388
455,3.1474621
456,3.2316828
457,2.8628235
458,3.4273102
459,3.7412133
460,2.8343437
461,3.2801476
462,3.3252306
463,3.3251257
464,3.3828914
465,3.8884318
466,4.2340074
467,2.7633953
468,3.2999306
469,3.1523693
470,3.6651368
471,2.759284
472,4.167686
473,2.7147067
474,3.4202557
475,3.816327
476,2.720993
477,3.4127696
478,3.4163463
479,3.4523764
480,3.7711427
481,3.3654542
482,3.1921678
483,3.7618346
484,3.4653294
485,3.040051
486,4.2112203
487,4.6505246
488,4.1773725
489,3.2328205
490,3.4279323
491,4.549903
492,3.5787091
493,3.6114955
494,4.08564
495,3.2025578
496,4.2677474
497,2.7177296
498,3.3577394
499,4.3409233
500,4.188388
501,4.5175753
502,3.1057527
503,3.1245415
504,2.8157115
505,4.548773
506,3.6228492
507,3.4800837
508,3.890803
509,2.7792363
510,3.908556
511,3.240482
512,3.0540986
513,3.1910498
514,3.1582632
515,2.8860335
516,3.5773497
517,2.6260993
518,3.6803193
519,3.160625
520,3.0993595
521,4.5046287
522,2.921401
523,3.0553858
524,3.468664
525,3.548172
526,4.098624
527,3.422239
528,2.9659767
529,3.6925957
530,3.828918
531,4.5426235
532,3.2152023
533,4.22675
534,3.46055
535,3.3735075
536,2.8390691
537,3.2934294
538,3.893843
539,3.355837
540,4.545321
541,3.8809037
542,3.380341
543,3.3135602
544,4.198952
545,3.281641
546,3.3811698
547,4.438671
548,3.556824
549,3.7537737
550,2.9417145
551,4.061419
552,3.807652
553,3.1489313
554,3.3755848
555,3.9648223
556,4.108983
557,3.3092954
558,3.1141703
559,3.7983243
560,3.2025423
561,2.9034164
562,3.3364465
563,4.2634788
564,4.566409
565,3.0669448
566,4.226209
567,3.3501318
568,3.8533177
569,3.433577
570,3.2758598
571,3.8957472
572,3.5628443
573,3.2051988
574,3.2373857
575,3.6432962
576,3.2355366
577,3.27171
578,3.7690768
579,4.194506
580,3.1478913
581,4.4135213
582,4.176812
583,3.0124373
584,3.302604
585,4.0729656
586,2.9416707
587,2.6158254
588,4.4173064
589,3.5873244
590,3.314736
591,2.6687477
592,3.124922
593,3.89403
594,3.6013875
595,3.6565988
596,4.5642405
597,3.2987542
598,3.7120383
599,3.7745063
600,3.4371226
601,3.0695307
602,3.3732195
603,4.300777
604,4.4009814
605,2.9402347
606,3.9017622
607,4.014377
608,3.208171
609,3.7847095
610,3.4737263
611,3.0725157
612,3.1582308
613,3.3844368
614,3.9172544
615,3.7615516
616,3.1571026
617,3.0745585
618,3.7163396
619,2.9719288
620,4.0852633
621,3.498756
622,4.1653852
623,4.2086267
624,4.1707406
625,3.2771237
626,3.6759977
627,3.0088294
628,3.562397
629,4.2089596
630,3.20992
631,4.0008383
632,2.857242
633,2.7456837
634,2.8720338
635,3.3632007
636,3.913333
637,3.0844932
638,4.558236
639,3.069757
640,3.0525708
641,3.2649868
642,3.075082
643,4.2273173
644,3.2943606
645,3.0000231
646,3.632835
647,3.5074863
648,3.8455403
649,3.151544
650,4.2743897
651,3.2940564
652,3.451664
653,4.546886
654,2.8022277
655,3.3725069
656,3.9314582
657,4.125752
658,3.359938
659,3.2499528
660,3.6728384
661,3.263849
662,3.0840163
663,3.344331
664,2.780358
665,3.6089044
666,4.328566
667,3.326529
668,2.9886289
669,3.4809706
670,4.0223355
671,3.628795
672,3.3223393
673,3.5243602
674,3.5240932
675,3.4753718
676,3.2492547
677,3.6822276
678,4.544538
679,3.1099641
680,3.8918562
681,3.369391
682,3.2571232
683,2.9794264
684,3.1756496
685,3.5649056
686,3.2394865
687,3.239777
688,3.8363347
689,3.522869
690,3.1090896
691,3.8957903
692,3.6629195
693,3.6346288
694,2.947026
695,4.359136
696,3.0945206
697,3.9074326
698,3.5130696
699,4.564981
700,3.627029
701,3.2259645
702,3.3253121
703,3.0516891
704,3.6152887
705,3.2038643
706,3.3020923
707,4.1727777
708,3.4580147
709,4.4312234
710,4.1376166
711,3.3589094
712,4.25724
713,3.2459886
714,4.192061
715,3.491651
716,4.172301
717,3.0418022
718,2.812272
719,3.2822127
720,3.355043
721,3.3502817
722,2.8902535
723,3.3939679
724,3.2306192
725,3.2634983
726,4.1895266
727,4.193034
728,3.1769977
729,3.2502983
730,3.7575493
731,3.9103181
732,2.9463625
733,3.8288224
734,4.4221363
735,3.4722269
736,2.9158597
737,3.2759604
738,3.5617628
739,3.8084543
740,3.160489
741,4.028079
742,2.9533148
743,3.487302
744,4.2295856
745,3.620123
746,4.5639806
747,4.1309705
748,4.4306235
749,3.0682936
750,3.91428
751,3.2120879
752,2.6859047
753,3.4403424
754,3.670036
755,3.042531
756,4.199686
757,2.9565423
758,3.7088015
759,2.9525304
760,3.0889049
761,3.268835
762,3.2331588
763,3.8743412
764,3.4792042
765,3.0843453
766,3.9143322
767,3.2455912
768,2.8751936
769,3.295467
770,3.324267
771,3.767749
772,3.0531487
773,3.1064534
774,3.7580266
775,3.9863088
776,3.1611202
777,4.240657
778,3.0136802
779,2.8488574
780,2.9508054
781,4.233255
782,3.510333
783,3.4529684
784,3.6651368
785,2.6493003
786,3.243372
787,3.173266
788,3.8480713
789,3.7583375
790,2.5711844
791,3.7851372
792,3.1580362
793,3.6224315
794,3.7337751
795,3.877607
796,3.3742266
797,3.0899305
798,3.5412972
