Tag,Cluster
funny,18
highly quotable,32
will ferrell,39
boxing story,45
mma,45
tom hardy,21
drugs,32
leonardo dicaprio,30
martin scorsese,28
way too long,26
al pacino,0
gangster,40
mafia,6
holocaust,63
true story,99
twist ending,99
anthony hopkins,0
courtroom drama,64
britpop,66
indie record label,35
music,95
dumpster diving,66
sustainability,27
romantic comedy,36
wedding,99
painter,59
bloody,59
black hole,27
sci-fi,59
time-travel,0
fantasy,71
magic board game,35
robin williams,5
beautiful scenery,40
epic,4
historical,41
inspirational,41
medieval,99
mel gibson,81
oscar (best cinematography),2
revenge,90
sword fight,64
black comedy,6
christina ricci,32
christopher lloyd,5
dark comedy,51
family,80
gothic,1
andy garcia,80
classic,86
francis ford coppola,88
quirky,99
macaulay culkin,19
sequel,99
animation,36
disney,10
original,7
pixar,92
tom hanks,83
ancient rome,17
history,99
imdb top 250,18
rome,87
russell crowe,59
ed harris,13
jude law,41
rachel weisz,67
sniper,48
world war ii,82
atmospheric,1
hilary swank,82
violent,28
dogs,88
eric bana,99
mad scientist,43
marvel,63
captain nemo,32
comic book,63
peta wilson,87
sean connery,32
superhero,46
adventure,99
angelina jolie,58
heroine in tight suit,88
ensemble cast,63
fantasy world,63
great soundtrack,32
lord of the rings,60
scenic,99
stylized,46
tolkien,88
hilarious,16
steve carell,57
anime,38
cyberpunk,84
dark,68
matrix,72
jim carrey,41
meryl streep,60
adam sandler,41
sweet,86
british gangster,46
confusing,72
daniel craig,45
exquisite plotting.,46
organized crime,18
stylish,88
hayao miyazaki,51
studio ghibli,87
david thewlis,45
eva green,3
liam neeson,11
orlando bloom,55
chris evans,89
jessica alba,88
sexy female scientist,6
helena bonham carter,40
johnny depp,28
tim burton,38
visually appealing,1
clever,9
fast-paced dialogue,74
good dialogue,87
robert downey jr.,38
witty,2
audrey tautou,45
conspiracy theory,7
mystery,63
paris,51
treasure hunt,68
brad pitt,88
cate blanchett,31
multiple storylines,22
social commentary,64
ben stiller,11
emma thompson,63
maggie gyllenhaal,32
modern fantasy,36
romance,36
surreal,16
marion cotillard,36
africa,85
corruption,21
jennifer connelly,10
justice,81
bad acting,13
bad jokes,46
bad plot,5
ryan reynolds,46
lion,68
narnia,11
tilda swinton,1
bad script,18
charlize theron,11
will smith,21
anne hathaway,21
comedy,46
james franco,6
seth rogen,3
stoner movie,70
audience intelligence underestimated,31
boring,19
chick flick,2
overrated,18
teen movie,83
adrien brody,87
con artists,45
interesting characters,24
mark ruffalo,34
bill murray,63
emma stone,80
jesse eisenberg,24
woody harrelson,64
cgi,17
cheesy,11
dc,36
dc comics,16
space,38
happy ending,38
hot actress,35
justin timberlake,38
mila kunis,38
new york city,1
sex,22
istanbul,39
predictable,87
turkey,13
unnecessary sequel,6
action,11
christoph waltz,55
good soundtrack,16
great performances,0
humour,11
quentin tarantino,99
samuel l. jackson,9
soundtrack,40
western,27
amy adams,87
daniel radcliffe,18
zoe kazan,36
stupid but funny,72
anti-intellectual,18
bad writing,32
dystopia,6
new society,72
plot holes,7
scifi,44
unintelligent,36
seth macfarlane,72
post-apocalyptic,15
survival,45
thriller,22
unexplained,70
weak plot,72
dark hero,22
gun-fu,63
keanu reeves,44
secret society,31
dark humor,63
ironic,1
multiple short stories,5
short stories,72
bromance,64
dr. strange,2
great villain,87
guardians of the galaxy,72
mcu,20
thanos,14
thor,28
visually stunning,15
characters,22
dialogue,99
humor,46
kurt russell,56
tension building,22
jennifer lawrence,98
love story,4
nonsense,33
politics,91
rebellion,34
revolution,10
ben kingsley,68
ethics,45
immortality,70
bad story,48
batman,68
ben affleck,56
harley quinn,69
harley quinn's ass,24
horrible directing,10
jared leto,25
joker,42
lack of plot,67
margot robbie,67
poor story,85
poorly paced,98
gal gadot,10
superman,37
wonderwoman,19
leonardo dicarpio,22
building a family,10
creative,77
freedom,90
good writing,92
individualism,50
viggo mortensen,55
gun tactics,22
hitman,62
future,35
interesting,70
jon hamm,12
thought provoking,60
dwayne johnson,26
rachel mcadams,32
alicia vikander,65
video game adaptation,20
josh brolin,94
sarcasm,47
emilia clarke,7
star wars,4
space action,6
non-linear,83
everything you want is here,20
classic sci-fi,72
engrossing adventure,78
nerd,62
stone age,34
killer,24
widows/widowers,74
kids,37
robots,37
murder,28
police,50
kevin costner,72
post apocalyptic,33
irreverent,3
jay and silent bob,6
kevin smith,29
satire,59
based on a book,32
brutal,76
controversial,48
goretastic,90
violence,1
alternate reality,72
science fiction,13
time travel,32
disturbing,27
great ending,26
mindfuck,25
surprise ending,34
suspense,32
cruel characters,62
brutality,99
threesome,24
sexual humor,34
embarassing scenes,43
offensive,38
r language,72
80's,43
crude humor,32
vulgar,32
sofia coppola,95
john cusack,79
ewan mcgregor,65
renee zellweger,45
jackie chan,33
kung fu,90
something for everyone in this one... saw it without and plan on seeing it with kids!,12
assassin,24
jean reno,74
assassin-in-training (scene),24
espionage,65
robert ludlum,57
test tag,57
feel-good,25
fun family movie,45
very funny,75
black and white,25
christopher nolan,23
directorial debut,25
not linear,5
hugh jackman,37
nonlinear,63
psychology,71
alan rickman,63
harry potter,77
humorous,24
magic,32
insomnia,55
